date,open,low,high,close,volume
2025-01-09 00:00:00,1.03087,1.03078,1.03087,1.03078,101
2025-01-09 00:01:00,1.03078,1.03073,1.0308,1.0308,66
2025-01-09 00:02:00,1.0308,1.03079,1.03086,1.03086,67
2025-01-09 00:03:00,1.03086,1.03085,1.03094,1.03092,84
2025-01-09 00:04:00,1.03092,1.03083,1.03093,1.03083,114
2025-01-09 00:05:00,1.03083,1.03081,1.03091,1.03089,68
2025-01-09 00:06:00,1.03089,1.03088,1.03097,1.03094,99
2025-01-09 00:07:00,1.03094,1.03094,1.031,1.03099,67
2025-01-09 00:08:00,1.03099,1.03097,1.03106,1.03103,93
2025-01-09 00:09:00,1.03103,1.03101,1.0311,1.03109,76
2025-01-09 00:10:00,1.03109,1.03101,1.03109,1.03103,94
2025-01-09 00:11:00,1.03103,1.03103,1.03113,1.03113,77
2025-01-09 00:12:00,1.03113,1.03105,1.03115,1.03109,53
2025-01-09 00:13:00,1.03109,1.03107,1.03115,1.03114,48
2025-01-09 00:14:00,1.03114,1.03104,1.03114,1.03105,75
2025-01-09 00:15:00,1.03105,1.03103,1.03108,1.03107,33
2025-01-09 00:16:00,1.03107,1.03105,1.03111,1.03111,48
2025-01-09 00:17:00,1.03111,1.03111,1.03116,1.03114,21
2025-01-09 00:18:00,1.03114,1.03114,1.03122,1.03118,37
2025-01-09 00:19:00,1.03118,1.03109,1.03118,1.03112,84
2025-01-09 00:20:00,1.03112,1.03112,1.03114,1.03113,19
2025-01-09 00:21:00,1.03113,1.03113,1.03119,1.03119,51
2025-01-09 00:22:00,1.03119,1.03108,1.03119,1.0311,55
2025-01-09 00:23:00,1.0311,1.03109,1.03115,1.03112,39
2025-01-09 00:24:00,1.03112,1.03104,1.03113,1.03106,58
2025-01-09 00:25:00,1.03106,1.031,1.03107,1.03104,38
2025-01-09 00:26:00,1.03104,1.03103,1.03106,1.03105,47
2025-01-09 00:27:00,1.03105,1.03099,1.03106,1.031,51
2025-01-09 00:28:00,1.031,1.03099,1.03103,1.031,25
2025-01-09 00:29:00,1.031,1.03091,1.031,1.03094,54
2025-01-09 00:30:00,1.03094,1.03085,1.03095,1.03087,83
2025-01-09 00:31:00,1.03087,1.0308,1.03093,1.0308,71
2025-01-09 00:32:00,1.0308,1.0308,1.03104,1.031,102
2025-01-09 00:33:00,1.031,1.03096,1.03105,1.03104,91
2025-01-09 00:34:00,1.03104,1.031,1.03108,1.03104,69
2025-01-09 00:35:00,1.03104,1.03101,1.03107,1.03101,95
2025-01-09 00:36:00,1.03101,1.03097,1.03102,1.03098,52
2025-01-09 00:37:00,1.03098,1.03097,1.03101,1.03099,59
2025-01-09 00:38:00,1.03099,1.03099,1.03107,1.03107,88
2025-01-09 00:39:00,1.03107,1.03105,1.03117,1.03117,90
2025-01-09 00:40:00,1.03117,1.03109,1.03117,1.0311,49
2025-01-09 00:41:00,1.0311,1.03099,1.03111,1.031,39
2025-01-09 00:42:00,1.031,1.03096,1.03103,1.03098,97
2025-01-09 00:43:00,1.03098,1.03083,1.03098,1.03088,90
2025-01-09 00:44:00,1.03088,1.03081,1.03088,1.03081,33
2025-01-09 00:45:00,1.03081,1.03079,1.03093,1.0309,69
2025-01-09 00:46:00,1.0309,1.03089,1.03094,1.03092,38
2025-01-09 00:47:00,1.03092,1.03089,1.03095,1.03094,69
2025-01-09 00:48:00,1.03094,1.03092,1.03095,1.03094,43
2025-01-09 00:49:00,1.03094,1.03094,1.03103,1.03101,59
2025-01-09 00:50:00,1.03101,1.03099,1.03105,1.03104,65
2025-01-09 00:51:00,1.03104,1.03102,1.03105,1.03104,36
2025-01-09 00:52:00,1.03104,1.03104,1.03108,1.03104,44
2025-01-09 00:53:00,1.03104,1.03092,1.03104,1.03096,79
2025-01-09 00:54:00,1.03096,1.03093,1.031,1.03094,75
2025-01-09 00:55:00,1.03094,1.03068,1.03094,1.0307,160
2025-01-09 00:56:00,1.0307,1.03052,1.03071,1.03058,102
