date,open,low,high,close,volume
2025-01-07 00:00:00,1.03913,1.03911,1.03914,1.03912,47
2025-01-07 00:01:00,1.03912,1.03912,1.03916,1.03914,82
2025-01-07 00:02:00,1.03914,1.03905,1.03914,1.0391,127
2025-01-07 00:03:00,1.0391,1.0391,1.03917,1.03914,52
2025-01-07 00:04:00,1.03914,1.03912,1.03916,1.03915,57
2025-01-07 00:05:00,1.03915,1.03915,1.03926,1.03926,69
2025-01-07 00:06:00,1.03926,1.03918,1.03926,1.03919,34
2025-01-07 00:07:00,1.03919,1.0391,1.03919,1.03913,62
2025-01-07 00:08:00,1.03913,1.03913,1.03919,1.03915,63
2025-01-07 00:09:00,1.03915,1.03914,1.03916,1.03914,27
2025-01-07 00:10:00,1.03914,1.03914,1.03921,1.03919,27
2025-01-07 00:11:00,1.03919,1.03918,1.03927,1.03919,65
2025-01-07 00:12:00,1.03919,1.03918,1.03927,1.03925,38
2025-01-07 00:13:00,1.03925,1.03919,1.03926,1.03925,50
2025-01-07 00:14:00,1.03925,1.03925,1.03932,1.03929,51
2025-01-07 00:15:00,1.03929,1.03928,1.03936,1.03936,53
2025-01-07 00:16:00,1.03936,1.03936,1.03942,1.03941,46
2025-01-07 00:17:00,1.03941,1.0394,1.03949,1.03949,58
2025-01-07 00:18:00,1.03949,1.03946,1.0395,1.0395,59
2025-01-07 00:19:00,1.0395,1.03949,1.03954,1.03954,37
2025-01-07 00:20:00,1.03954,1.03944,1.03955,1.03944,44
2025-01-07 00:21:00,1.03944,1.03935,1.03945,1.0394,54
2025-01-07 00:22:00,1.0394,1.03938,1.03945,1.03944,52
2025-01-07 00:23:00,1.03944,1.03941,1.0395,1.03945,141
2025-01-07 00:24:00,1.03945,1.03945,1.03957,1.03953,79
2025-01-07 00:25:00,1.03953,1.03949,1.03954,1.03952,57
2025-01-07 00:26:00,1.03952,1.03951,1.03958,1.03951,92
2025-01-07 00:27:00,1.03951,1.03949,1.03954,1.03952,80
2025-01-07 00:28:00,1.03952,1.0395,1.03958,1.0395,62
2025-01-07 00:29:00,1.0395,1.03947,1.03953,1.03951,36
2025-01-07 00:30:00,1.03951,1.0395,1.03966,1.03966,91
2025-01-07 00:31:00,1.03966,1.03965,1.03995,1.03994,141
2025-01-07 00:32:00,1.03994,1.03985,1.03994,1.03988,60
2025-01-07 00:33:00,1.03988,1.03983,1.0399,1.0399,67
2025-01-07 00:34:00,1.0399,1.03985,1.03993,1.03987,75
2025-01-07 00:35:00,1.03987,1.03979,1.03988,1.03983,71
2025-01-07 00:36:00,1.03983,1.03981,1.03994,1.03993,77
2025-01-07 00:37:00,1.03993,1.03992,1.03999,1.03998,52
2025-01-07 00:38:00,1.03998,1.03997,1.04,1.03997,23
2025-01-07 00:39:00,1.03997,1.03993,1.04007,1.04007,107
2025-01-07 00:40:00,1.04007,1.04003,1.04007,1.04006,73
2025-01-07 00:41:00,1.04006,1.03995,1.04007,1.03999,124
2025-01-07 00:42:00,1.03999,1.03999,1.04006,1.04002,69
2025-01-07 00:43:00,1.04002,1.04001,1.04015,1.04015,162
2025-01-07 00:44:00,1.04015,1.04015,1.04029,1.04021,119
2025-01-07 00:45:00,1.04021,1.04008,1.04021,1.04019,109
2025-01-07 00:46:00,1.04019,1.04017,1.04026,1.04024,96
2025-01-07 00:47:00,1.04024,1.04014,1.04026,1.04018,83
2025-01-07 00:48:00,1.04018,1.04013,1.04023,1.04022,61
2025-01-07 00:49:00,1.04022,1.04008,1.04024,1.04012,92
2025-01-07 00:50:00,1.04012,1.04004,1.04012,1.0401,42
2025-01-07 00:51:00,1.0401,1.04007,1.04021,1.04016,123
2025-01-07 00:52:00,1.04016,1.03999,1.04019,1.03999,99
2025-01-07 00:53:00,1.03999,1.03996,1.0401,1.04006,103
2025-01-07 00:54:00,1.04006,1.04004,1.0401,1.04006,78
2025-01-07 00:55:00,1.04006,1.03995,1.04008,1.03996,134
2025-01-07 00:56:00,1.03996,1.03991,1.04,1.03991,227
2025-01-07 00:57:00,1.03991,1.03957,1.03991,1.03957,212
2025-01-07 00:58:00,1.03957,1.03956,1.03972,1.03969,141
2025-01-07 00:59:00,1.03969,1.03955,1.03969,1.03964,119
2025-01-07 01:00:00,1.03964,1.0396,1.03984,1.03981,135
2025-01-07 01:01:00,1.03981,1.03974,1.03987,1.03977,110
2025-01-07 01:02:00,1.03977,1.03974,1.03986,1.03986,110
2025-01-07 01:03:00,1.03986,1.03982,1.03989,1.03984,96
2025-01-07 01:04:00,1.03984,1.03981,1.03994,1.03987,103
2025-01-07 01:05:00,1.03987,1.03986,1.03996,1.03993,88
2025-01-07 01:06:00,1.03993,1.03991,1.04003,1.04002,97
2025-01-07 01:07:00,1.04002,1.03994,1.04008,1.04007,79
2025-01-07 01:08:00,1.04007,1.04007,1.04019,1.04018,152
2025-01-07 01:09:00,1.04018,1.04018,1.04039,1.0403,137
2025-01-07 01:10:00,1.0403,1.04011,1.0403,1.04015,87
2025-01-07 01:11:00,1.04015,1.0401,1.04022,1.04015,134
2025-01-07 01:12:00,1.04015,1.04015,1.04031,1.04025,112
2025-01-07 01:13:00,1.04025,1.04016,1.04025,1.0402,158
2025-01-07 01:14:00,1.0402,1.04014,1.04021,1.04015,70
2025-01-07 01:15:00,1.04015,1.04012,1.04022,1.04021,77
2025-01-07 01:16:00,1.04021,1.04019,1.04029,1.0402,106
2025-01-07 01:17:00,1.0402,1.0401,1.04022,1.0402,101
2025-01-07 01:18:00,1.0402,1.04011,1.0402,1.04018,77
2025-01-07 01:19:00,1.04018,1.04015,1.04023,1.0402,98
2025-01-07 01:20:00,1.0402,1.04019,1.04031,1.0402,113
2025-01-07 01:21:00,1.0402,1.0402,1.04026,1.04023,87
2025-01-07 01:22:00,1.04023,1.04021,1.04028,1.04021,56
2025-01-07 01:23:00,1.04021,1.04019,1.04023,1.04022,36
2025-01-07 01:24:00,1.04022,1.04,1.04024,1.04,97
2025-01-07 01:25:00,1.04,1.03986,1.04005,1.03987,130
2025-01-07 01:26:00,1.03987,1.03979,1.03993,1.03993,109
2025-01-07 01:27:00,1.03993,1.03989,1.04004,1.04001,84
2025-01-07 01:28:00,1.04001,1.03999,1.04005,1.04003,64
2025-01-07 01:29:00,1.04003,1.03999,1.04004,1.04,100
2025-01-07 01:30:00,1.04,1.03994,1.0401,1.04002,206
2025-01-07 01:31:00,1.04002,1.04,1.04014,1.0401,149
2025-01-07 01:32:00,1.0401,1.0401,1.04015,1.04015,70
2025-01-07 01:33:00,1.04015,1.04007,1.0402,1.04015,143
2025-01-07 01:34:00,1.04015,1.04005,1.04018,1.04011,106
2025-01-07 01:35:00,1.04011,1.04008,1.04022,1.04015,106
2025-01-07 01:36:00,1.04015,1.04006,1.04016,1.0401,139
2025-01-07 01:37:00,1.0401,1.04,1.04012,1.04,55
2025-01-07 01:38:00,1.04,1.03995,1.04006,1.03995,70
2025-01-07 01:39:00,1.03995,1.03994,1.04002,1.03998,85
2025-01-07 01:40:00,1.03998,1.0399,1.03999,1.03995,85
2025-01-07 01:41:00,1.03995,1.03987,1.03996,1.03987,67
2025-01-07 01:42:00,1.03987,1.03974,1.03991,1.03974,120
2025-01-07 01:43:00,1.03974,1.03974,1.03984,1.03982,119
2025-01-07 01:44:00,1.03982,1.03979,1.03986,1.03985,49
2025-01-07 01:45:00,1.03985,1.03968,1.03985,1.03969,162
2025-01-07 01:46:00,1.03969,1.03964,1.03976,1.03975,114
2025-01-07 01:47:00,1.03975,1.03968,1.03976,1.03972,81
2025-01-07 01:48:00,1.03972,1.0397,1.03975,1.0397,58
2025-01-07 01:49:00,1.0397,1.03965,1.03975,1.03975,78
