title,updateTimestamp,content,relatedStocks,relatedInfos,date,trade_date
,2024-11-22 10:40:08,格隆汇11月22日｜澳元兑纽元升至2022年10月以来新高，现报1.1171。,NZD,,2024-11-22 02:40:08,20241123
,2024-11-22 10:43:55,格隆汇11月22日｜纽元兑美元NZD/USD跌至2023年11月以来最低水平，现报0.5829。,NZD,,2024-11-22 02:43:55,20241123
美元指数涨0.5%，欧元区PMI数据打压欧元,2024-11-23 06:19:10,"格隆汇11月23日｜周五（11月22日）纽约尾盘，ICE美元指数上涨0.52%，报107.524点，北京时间17:00发布欧元区PMI初值数据后，涨至108.071点，逼近2022年11月11日顶部108.440点和当年9月28日顶部114.778点，本周累涨0.78%。彭博美元指数涨0.38%，报1291.22点，17:14也曾涨至1294.92点，逼近2022年11月10日顶部1323.90点，本周累涨0.43%。
美元兑日元涨0.18%，报154.82日元，本周累涨0.33%。欧元兑美元跌0.56%，报1.0415，本周累跌1.15%。英镑兑美元跌0.46%、报1.2531，本周累跌0.68%；美元兑瑞郎涨0.87%、报0.8945，本周累涨0.76%；商品货币对中，澳元兑美元跌0.16%、本周累涨0.61%，纽元兑美元跌0.43%、本周类嘚0.52%，美元兑加元涨0.05%、本周累跌0.78%。瑞典克朗兑美元涨0.23%，本周累跌0.56%；挪威克朗兑美元跌0.05%，本周累涨0.16%。",NZD,,2024-11-22 22:19:10,20241123
