title,updateTimestamp,content,relatedStocks,relatedInfos,date,trade_date
,2024-10-02 20:20:52,格隆汇10月2日｜匈牙利福林兑欧元跌至399.70，创2023年3月以来新低。,EUR,,2024-10-02 12:20:52,20241003
美元指数上涨近0.5%，日本官员表态令日元大跌2%,2024-10-03 06:21:49,格隆汇10月3日｜周三（10月2日）纽约尾盘，ICE美元指数上涨0.42%，报101.618点。美元兑日元大涨2.02%，报146.46日元。日本首相及央行行长均表态不支持进一步加息，令日元汇价显著承压。彭博美元指数涨0.24%，报1228.96点。欧元兑美元跌0.21%，报1.1045。,EUR,,2024-10-02 22:21:49,20241003
