title,updateTimestamp,content,relatedStocks,relatedInfos,date,trade_date
人民币兑美元中间价报7.1698 上调7点,2025-01-27 09:16:18,格隆汇1月27日｜人民币兑美元中间价报7.1698，上调7点；上一交易日中间价7.1705，上一交易日官方收盘价7.2412，上日夜盘报收7.2380。,CNH,,2025-01-27 01:16:18,20250128
CNH HIBOR主要期限利率多数上行,2025-01-27 11:48:29,格隆汇1月27日｜隔夜HIBOR涨80个基点至2.19242%，创1月17日以来新高。一周期的HIBOR小跌至2.08833%，两周期HIBOR升8个基点至2.18152%，一年期HIBOR小涨至2.53030%。,CNH,,2025-01-27 03:48:29,20250128
,2025-01-27 16:53:26,格隆汇1月27日｜在岸人民币兑美元1月27日16:30收盘报7.2650，较上一交易日下跌238点。,CNH,,2025-01-27 08:53:26,20250128
,2025-01-28 06:22:54,格隆汇1月28日｜在岸人民币兑美元（CNY）北京时间03:00收报7.2535元，较上周五夜盘收盘跌155点。成交量180.70亿美元。,CNH,,2025-01-27 22:22:54,20250128
,2025-01-28 06:26:37,格隆汇1月28日｜离岸人民币（CNH）兑美元北京时间05:59报7.2522元，较上周五纽约尾盘跌79点，日内整体交投于7.2385-7.2772元区间。,CNH,,2025-01-27 22:26:37,20250128
