Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-01-18 00:00:00+00:00,1.3502800464630127,1.352370023727417,1.3480299711227417,1.3502800464630127,0,0.0,0.0
2024-01-19 00:00:00+00:00,1.348620057106018,1.3501499891281128,1.345420002937317,1.348620057106018,0,0.0,0.0
2024-01-22 00:00:00+00:00,1.3431600332260132,1.345829963684082,1.3414000272750854,1.3431600332260132,0,0.0,0.0
2024-01-23 00:00:00+00:00,1.347790002822876,1.3491400480270386,1.3451000452041626,1.347790002822876,0,0.0,0.0
2024-01-24 00:00:00+00:00,1.3456000089645386,1.3494199514389038,1.3429399728775024,1.3456000089645386,0,0.0,0.0
2024-01-25 00:00:00+00:00,1.3525400161743164,1.3533799648284912,1.3487399816513062,1.3525400161743164,0,0.0,0.0
2024-01-26 00:00:00+00:00,1.3477699756622314,1.348270058631897,1.341539978981018,1.3477699756622314,0,0.0,0.0
2024-01-29 00:00:00+00:00,1.3453999757766724,1.346459984779358,1.3424999713897705,1.3453999757766724,0,0.0,0.0
2024-01-30 00:00:00+00:00,1.3411400318145752,1.344539999961853,1.3396999835968018,1.3411400318145752,0,0.0,0.0
2024-01-31 00:00:00+00:00,1.3401700258255005,1.3436100482940674,1.3359500169754028,1.3401700258255005,0,0.0,0.0
2024-02-01 00:00:00+00:00,1.3435499668121338,1.346269965171814,1.3378000259399414,1.3435499668121338,0,0.0,0.0
2024-02-02 00:00:00+00:00,1.3382999897003174,1.347499966621399,1.336400032043457,1.3382999897003174,0,0.0,0.0
2024-02-05 00:00:00+00:00,1.3470100164413452,1.3543399572372437,1.346500039100647,1.3470100164413452,0,0.0,0.0
2024-02-06 00:00:00+00:00,1.3543000221252441,1.3543200492858887,1.3498899936676025,1.3543000221252441,0,0.0,0.0
2024-02-07 00:00:00+00:00,1.34893000125885,1.3493000268936157,1.3455100059509277,1.34893000125885,0,0.0,0.0
2024-02-08 00:00:00+00:00,1.3464000225067139,1.349120020866394,1.3446999788284302,1.3464000225067139,0,0.0,0.0
2024-02-09 00:00:00+00:00,1.3459999561309814,1.348039984703064,1.34142005443573,1.3459999561309814,0,0.0,0.0
2024-02-12 00:00:00+00:00,1.3457800149917603,1.3474600315093994,1.3436000347137451,1.3457800149917603,0,0.0,0.0
2024-02-13 00:00:00+00:00,1.3455300331115723,1.3575899600982666,1.3435399532318115,1.3455300331115723,0,0.0,0.0
2024-02-14 00:00:00+00:00,1.3565800189971924,1.3571300506591797,1.3530000448226929,1.3565800189971924,0,0.0,0.0
2024-02-15 00:00:00+00:00,1.3538700342178345,1.3550599813461304,1.3476899862289429,1.3538700342178345,0,0.0,0.0
2024-02-16 00:00:00+00:00,1.3465299606323242,1.3505699634552002,1.3463000059127808,1.3465299606323242,0,0.0,0.0
2024-02-19 00:00:00+00:00,1.347749948501587,1.349560022354126,1.34660005569458,1.3477799892425537,0,0.0,0.0
2024-02-20 00:00:00+00:00,1.3497999906539917,1.3529399633407593,1.3472299575805664,1.3497999906539917,0,0.0,0.0
2024-02-21 00:00:00+00:00,1.3521900177001953,1.3535300493240356,1.3501499891281128,1.3521900177001953,0,0.0,0.0
2024-02-22 00:00:00+00:00,1.3496999740600586,1.3507000207901,1.3439799547195435,1.3496999740600586,0,0.0,0.0
2024-02-23 00:00:00+00:00,1.348140001296997,1.3516099452972412,1.345900058746338,1.348140001296997,0,0.0,0.0
2024-02-26 00:00:00+00:00,1.3510299921035767,1.3528000116348267,1.350000023841858,1.3507200479507446,0,0.0,0.0
